Job #,Channel,Ad,Item,rent,Amount,Shipping,Total Amount,Paid by F,Farahy Income,items,date
130,IG,N,"1 fan, 1 jerb, 1 wooden-bride",,2180.0,0.0,2180.0,,,"['fan', 'jerb', 'wooden-bride']",2023-06-02
131,FB,N,17 fan,,755.0,45.0,800.0,,,['fan'],2023-06-04
127,GENIE,N,"7 robe, 1 slippers, 1 cap, 3 sashes",,2810.0,60.0,2870.0,,,"['robe', 'slippers', 'cap', 'sashes']",2023-05-31
126,NOON,N,1 slippers,,143.0,0.0,143.0,,,['slippers'],2023-05-28
133,JUMIA,N,1 slippers,,201.0,0.0,201.0,,,['slippers'],2023-06-24
132,EMPLOYEE,N,1 fan,,200.0,0.0,200.0,,,['fan'],2023-06-21
132,IG,N,"1 welcome-board, 1 bouquet",,1700.0,,1700.0,,,"['welcome-board', 'bouquet']",2023-06-22
128,NOON,N,1 slippers,,143.0,0.0,143.0,,,['slippers'],2023-06-02
125,IG,N,"14 bag, 2 cap, 2 resin-tray, 4 resin-plates",,7220.0,0.0,7220.0,,,"['bag', 'cap', 'resin-tray', 'resin-plates']",2023-05-09
130,EMPLOYEE,N,"1 welcome-board, 15 bouquet, 19 flower-pin, 1 head-band, 50 fan, 1 welcome-board",,9280.0,60.0,9340.0,,,"['welcome-board', 'bouquet', 'flower-pin', 'head-band', 'fan', 'welcome-board']",2023-06-21
134,NADINE,N,8 box,,480.0,70.0,550.0,,,['box'],2023-06-26
135,IG,N,1 fan,,330.0,60.0,390.0,,,['fan'],2023-07-03
136,NOON,N,1 slippers,,143.0,0.0,143.0,,,['slippers'],2023-07-11
129,NADINE,N,"1 mandeel-katb-ketab, 16 groom-pin, 1 welcome-board, 1 stand",,2900.0,0.0,2900.0,,,"['mandeel-katb-ketab', 'groom-pin', 'welcome-board', 'stand']",2023-06-19
137,NOON,N,1 robe,,257.0,0.0,257.0,,,['robe'],2023-07-18
138,IG,N,1 fan,,150.0,60.0,210.0,,,['fan'],2023-07-28
139,GENIE,N,"1 neon-sign, 1 mandeel-katb-ketab, 1 fan, 20 flower-pin, 1 jar",,5000.0,0.0,5000.0,,,"['neon-sign', 'mandeel-katb-ketab', 'fan', 'flower-pin', 'jar']",2023-08-01
140,FB,N,"1 mandeel-katb-ketab, 2 robe, 1 slippers",,1700.0,70.0,1770.0,,,"['mandeel-katb-ketab', 'robe', 'slippers']",2023-08-12
141,IG,N,1 mandeel-katb-ketab,,750.0,50.0,800.0,,,['mandeel-katb-ketab'],2023-08-20
142,NOON,N,1 slippers,,100.0,0.0,100.0,,,['slippers'],2023-08-24
144,IG,N,1 slippers,,110.0,65.0,175.0,,,['slippers'],2023-08-31
143,GENIE,N,1 mandeel-katb-ketab,,700.0,0.0,700.0,,,['mandeel-katb-ketab'],2023-08-29
144,FB,N,"1 mandeel-katb-ketab, 1 jerb, 1 online-invitation",,2000.0,70.0,2070.0,,,"['mandeel-katb-ketab', 'jerb', 'online-invitation']",2023-09-18
145,NOON,N,1 slippers,,181.0,,181.0,,,['slippers'],2023-09-22
146,GENIE,N,"1 welcome-board, 1 invitation",,1990.0,,1990.0,,,"['welcome-board', 'invitation']",2023-10-10
147,EVENT,N,2 slippers,,260.0,0.0,260.0,,,['slippers'],2023-10-13
148,NOON,N,1 slippers,,143.0,,143.0,,,['slippers'],2023-09-22
149,EMPLOYEE,N,1 mandeel-katb-ketab,,100.0,,100.0,,,['mandeel-katb-ketab'],2023-10-25
150,GENIE,N,"50 menu, 50 card, 50 fan",,3700.0,,3700.0,,,"['menu', 'card', 'fan']",2023-11-02
153,IG,N,"9 robe, 1 slippers, 1 tar7a , 15 flower-bracelets",,4970.0,100.0,5070.0,,,"['robe', 'slippers', 'tar', 'flower-bracelets']",2023-11-15
154,CALL,N,"1 pyjama, 1 slippers, 1 fan, 1 robe",,1420.0,70.0,1490.0,,,"['pyjama', 'slippers', 'fan', 'robe']",2023-11-22
155,CALL,N,"1 resin-tray, 1 mandeel-katb-ketab",,2700.0,70.0,2770.0,,,"['resin-tray', 'mandeel-katb-ketab']",2023-11-23
156,EVENT,N,1 balloons,,,,400.0,,,['balloons'],2023-11-27
152,NOON,N,1 slippers,,212.0,,212.0,,,['slippers'],2023-11-14
157,FB,N,1 neon-sign,,2450.0,70.0,2520.0,,,['neon-sign'],2023-11-29
159,WHATSAPP,N,1 mandeel-katb-ketab,,750.0,100.0,850.0,,,['mandeel-katb-ketab'],2023-12-08
158,WEBSITE,N,"20 candle, 30 keychain",,2200.0,70.0,2270.0,,,"['candle', 'keychain']",2023-12-06
160,GENIE,N,"60 fan, 1 acrylic-tray, 75 water-stickers, 3 fan",,6435.0,70.0,6505.0,,,"['fan', 'acrylic-tray', 'water-stickers', 'fan']",2023-12-09
161,FB,N,1 chocolate,,1500.0,70.0,1570.0,,,['chocolate'],2023-12-15
162,FB,Y,1 christmas-box,,600.0,70.0,670.0,,,['christmas-box'],2023-12-17
163,GENIE,N,1 jerb,,550.0,,550.0,,,['jerb'],2023-12-16
164,EMPLOYEE,N,1 mandeel-katb-ketab,,550.0,,550.0,,,['mandeel-katb-ketab'],2023-12-25
165,FB,Y,6 sashes,,840.0,,840.0,470.0,370.0,['sashes'],2024-01-21
166,FB,Y,1 mirror,,750.0,70.0,820.0,500.0,320.0,['mirror'],2024-01-22
167,IG,Y,"1 hat, 1 fan",,800.0,70.0,870.0,520.0,350.0,"['hat', 'fan']",2024-02-02
170,FB,N,70 invitation,,2940.0,,2940.0,2030.0,910.0,['invitation'],2024-03-11
169,GENIE,N,"1 mandeel-katb-ketab, 1 robe, 1 jerb, 1 flower-pin",,2280.0,100.0,2380.0,1634.0,746.0,"['mandeel-katb-ketab', 'robe', 'jerb', 'flower-pin']",2024-03-06
171,GENIE,N,"15 robe, 15 box, 1 slippers, 1 mirror, 100 fan, 1 frame, 1 wooden-box, 2 cap, 1 sign",,12200.0,175.0,12375.0,9840.0,2535.0,"['robe', 'box', 'mirror', 'fan', 'frame', 'wooden-box', 'cap', 'sign']",2024-03-17
173,GENIE,N,"1 mandeel-katb-ketab, 1 jerb, 100 fan, 1 guest-book",,3325.0,100.0,3425.0,2630.5,794.5,"['mandeel-katb-ketab', 'jerb', 'fan', 'guest-book']",2024-03-26
174,IG,N,10 bridesmaid-box,,5000.0,,5000.0,4017.5,982.5,['bridesmaid-box'],2024-04-01
176,WEBSITE,N,2 boutonniere,,80.0,,80.0,68.0,12.0,['boutonniere'],2024-04-03
177,WEBSITE,N,"1 dress, 1 kids-sign, 1 pet-attire",,1100.0,125.0,1225.0,1030.0,195.0,"['dress', 'kids-sign', 'pet-attire']",2024-04-03
178,GENIE,N,"1 mandeel-katb-ketab, 50 hat, 1 bouquet, 10 corsage, 12 flower-pin",,8100.0,,8100.0,6767.0,1333.0,"['mandeel-katb-ketab', 'hat', 'bouquet', 'corsage', 'flower-pin']",2024-04-04
179,WEBSITE,N,"18 socks, 14 robe, 1 mandeel-katb-ketab",,5510.0,,5510.0,4510.5,999.5,"['socks', 'robe', 'mandeel-katb-ketab']",2024-04-09
180,NADINE,N,"2 cap, 1 hat, 1 fan",,1080.0,70.0,1150.0,934.0,216.0,"['cap', 'hat', 'fan']",2024-04-14
181,CALL,N,"1 slippers, 1 fan",,570.0,,570.0,,570.0,"['slippers', 'fan']",2024-04-15
182,IG,N,1 bridesmaid-box,,500.0,100.0,600.0,556.0,44.0,['bridesmaid-box'],2024-04-16
183,WEBSITE,N,"5 scrunches, 6 tshirt, 1 pet-veil, 1 welcome-board, 1 stand, 1 dress",,4625.0,,4625.0,3443.5,1181.5,"['scrunches', 'tshirt', 'pet-veil', 'stand', 'dress']",2024-04-20
185,GENIE,N,1 mandeel-katb-ketab,,550.0,75.0,625.0,542.5,82.5,['mandeel-katb-ketab'],2024-04-25
